peril_type,syndicate,group_class,placing_basis_group,leader_status,new_renewal,risk_code,loss_census_division,total_test_observed,expected_flagged_windows,q_hat,n_windows_flagged,first_window,last_window,survives_bonferroni,thin_occupancy_caution,near_zero_expected_artifact,fgss_corroborated
Other Perils - Inland Flood (IF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,New England,1,0.3051,3.28,1,2024-Q1,2024-Q1,False,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Middle Atlantic,1,0.0029,345.79,1,2023-Q2,2023-Q2,True,False,True,True
Non-catastrophe - Other (NC-O),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,New England,1,0.0495,20.21,1,2023-Q4,2023-Q4,False,False,True,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Mountain,1,0.0024,413.49,1,2023-Q4,2023-Q4,False,False,True,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East South Central,1,0.0024,413.49,1,2023-Q4,2023-Q4,False,False,True,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,Mountain,1,0.7825,1.28,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,East South Central,1,0.0462,21.63,1,2023-Q3,2023-Q3,True,False,True,True
Non-catastrophe - Weather (NC-W),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Mountain,1,0.0239,41.92,1,2023-Q4,2023-Q4,False,False,True,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,ALL,P2,West South Central,1,0.0041,242.32,1,2024-Q1,2024-Q1,False,False,True,True
Non-catastrophe - Weather (NC-W),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,New England,1,0.1552,6.44,1,2024-Q1,2024-Q1,False,False,False,True
Non-catastrophe - Mechanical Failure (NC-M),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West North Central,1,0.2242,4.46,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,Mountain,1,0.0592,16.89,1,2024-Q1,2024-Q1,False,False,True,True
Non-catastrophe - Mechanical Failure (NC-M),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P6,West South Central,1,0.3895,2.57,1,2024-Q1,2024-Q1,False,False,False,True
Non-catastrophe - Mechanical Failure (NC-M),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,New England,1,0.0557,17.94,1,2024-Q1,2024-Q1,False,False,True,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Mountain,1,0.0024,413.49,1,2023-Q4,2023-Q4,False,False,True,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,ALL,P6,West North Central,1,0.0041,242.32,1,2024-Q1,2024-Q1,False,False,True,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,South Atlantic,1,0.0024,413.49,1,2023-Q4,2023-Q4,False,False,True,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P6,West North Central,1,0.3776,2.65,1,2024-Q1,2024-Q1,False,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East North Central,1,0.0024,413.49,1,2023-Q4,2023-Q4,False,False,True,True
