peril_type,syndicate,group_class,placing_basis_group,leader_status,new_renewal,risk_code,loss_census_division,total_test_observed,unseen_features
Other Perils - Wildfire/Bushfire (WF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P6,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,New England,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Accident (NC-A),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,South Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P6,West South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,South Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Fire (NC-F),2987.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET,LEAD,Renewal,PB,East North Central,1,risk_code=PB
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Vandalism (NC-V),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Pacific,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Mountain,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Tropical Cyclone - Wind (TC),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,South Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Other (NC-O),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Weather (NC-W),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,South Atlantic,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,East South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Accident (NC-A),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,East North Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Vandalism (NC-V),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West South Central,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Non-catastrophe - Accident (NC-A),1618.0,COMMERCIAL WW,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P3,Mountain,1,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
