method,j,r,window,trial,arm,S,detected,score,pvalue,jaccard,recall,precision
Poisson-MDSS,2,2.0,2024-Q2,1,clean,"{'loss_census_division': ['South Atlantic'], 'peril_type': ['Severe Storm - Severe Thunderstorm (ST)']}",False,76.16304002852348,0.25,,,
Poisson-MDSS,2,2.0,2024-Q2,1,injected,"{'loss_census_division': ['South Atlantic'], 'peril_type': ['Severe Storm - Severe Thunderstorm (ST)']}",False,64.83181942915854,0.3125,0.0,0.0,
Poisson-MDSS,2,2.0,2024-Q3,1,clean,"{'loss_census_division': ['South Atlantic'], 'peril_type': ['Severe Storm - Severe Thunderstorm (ST)']}",False,13.835041346087092,0.9375,,,
Poisson-MDSS,2,2.0,2024-Q3,1,injected,"{'loss_census_division': ['South Atlantic'], 'peril_type': ['Severe Storm - Severe Thunderstorm (ST)']}",False,90.7931533933713,0.5,0.09090909090909091,0.5,0.1
Poisson-MDSS,2,2.0,2024-Q4,1,clean,"{'loss_census_division': ['South Atlantic'], 'peril_type': ['Severe Storm - Severe Thunderstorm (ST)']}",False,14.751315668135781,0.6875,,,
Poisson-MDSS,2,2.0,2024-Q4,1,injected,"{'loss_census_division': ['South Atlantic'], 'peril_type': ['Severe Storm - Severe Thunderstorm (ST)']}",False,21.3353514375719,0.625,0.1111111111111111,0.5,0.125
Poisson-MDSS,2,3.0,2022-Q1,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,9.376169120283741,0.75,,,
Poisson-MDSS,2,3.0,2022-Q1,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,27.843168843237436,0.4375,0.2222222222222222,1.0,0.2222222222222222
Poisson-MDSS,2,3.0,2022-Q2,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,1.6204715942597256,0.875,,,
Poisson-MDSS,2,3.0,2022-Q2,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,281.57507191403374,0.0625,0.2,1.0,0.2
Poisson-MDSS,2,3.0,2022-Q3,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,32.130273122196634,0.125,,,
Poisson-MDSS,2,3.0,2022-Q3,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,12.024255862399208,0.5,0.09090909090909091,0.5,0.1
Poisson-MDSS,2,3.0,2022-Q4,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,10.388771475827104,0.5625,,,
Poisson-MDSS,2,3.0,2022-Q4,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,0.0,1.0,0.0,0.0,
Poisson-MDSS,2,3.0,2023-Q1,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,11.153994473174635,0.8125,,,
Poisson-MDSS,2,3.0,2023-Q1,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,10.793188757516496,0.8125,0.1111111111111111,0.5,0.125
Poisson-MDSS,2,3.0,2023-Q2,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,95.79920944473496,0.3125,,,
Poisson-MDSS,2,3.0,2023-Q2,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,49.683563643731866,0.3125,0.2222222222222222,1.0,0.2222222222222222
Poisson-MDSS,2,3.0,2023-Q3,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,16.972465803495986,0.8125,,,
Poisson-MDSS,2,3.0,2023-Q3,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,153.1901877183115,0.125,0.125,1.0,0.125
Poisson-MDSS,2,3.0,2023-Q4,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,40.73497456246052,0.5625,,,
Poisson-MDSS,2,3.0,2023-Q4,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,167.5484982099302,0.0625,0.16666666666666666,1.0,0.16666666666666666
Poisson-MDSS,2,3.0,2024-Q1,0,clean,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,35.574580462116174,0.5625,,,
Poisson-MDSS,2,3.0,2024-Q1,0,injected,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [2987.0]}",False,9.497963253459528,0.75,0.1,0.5,0.11111111111111112
